"nt","nz","a","b","bmin","bmax","b3","dxK","dyK","zK","dxO","dyO","zO","x0","y0","z0","y1","z1","x2","z2","x3","y3","dab","dbh","db12","db","odev","inv","cen","rot","invK","cenK","rotK","dgam","amin","amax","tK","pK","tO","pO","d1","d2","d3","d4","d5","dxK","dyK","dxO","dyO","tem","SG","SG0","g2","file","cation","cnf","L","met","fntag"
"i","i","Ao","Ao","Ao","Ao","Ao","Ao","Ao","Ao","Ao","Ao","Ao","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","mAo","deg","deg","deg","deg","deg","deg","deg","deg","deg","deg","deg","deg","Ao","Ao","Ao","Ao","K","str","str","str","str","str","str","c","str","str"
3,1,6.09405433500000,6.09405433500000,3.10418952065163,3.11239022834303,3.19207722031325,.901246907728256,-.015642430621341,2.49114983901509,-2.00358508040412,.571242631899588,6.53164272967321,0.,0.,0.,610.629923866406,64.975361720126,-554.333309710112,64.975361720126,-301.13264118706,-91.6665982143656,0.,8.20070769139725,8.20070769139691,8.20070769139791,103.187451995124,2.56395024851142e-013,9.70122552133095e-013,4.07592714854765e-011,5.89777253934257e-013,2.92321705529695e-012,2.43162103177319e-005,-1.0581465,157.211211169013,157.211211169013,64.9636192008724,-175.473788653857,34.3138925205291,161.109447482538,188.549571063553,180.041769821084,187.371270373532,176.570437687957,177.809594044441,.901246907728256,-.015642430621341,-2.00358508040412,.571242631899588,0,"P21/b11","P21/c","","cryst1C6A_R2SCAN-RVV10paw600_L4","C6A","","1","~R2SCAN",""
3,1,6.05454866000000,6.05454866000000,3.12202361346136,3.13838982096153,3.15745596117326,.0114689630487028,.593537146356659,2.4609501134494,-1.30001957304607,-.750267192876521,7.99874314004865,0.,0.,0.,527.615862141324,596.172034129378,-264.405935656612,596.172034129378,-398.080783032446,-574.547330046579,0.,16.3662075001569,16.3662075001564,16.3662075001669,159.217594691723,0.,8.58181572124267e-013,3.82309050571795e-011,1.00640608051173e-012,2.80162113791034e-012,3.06390464173401e-005,-4.9642571,150.53163820533,150.53163820533,24.0883273334045,-89.2235575752789,1.45760795962398,74.8748565952407,175.701472308429,176.813431818025,67.3998645328132,176.314973464602,181.777608428067,.0114689630487028,.593537146356659,-1.30001957304607,-.750267192876521,0,"P21/b11","P21/c","","cryst1C8A_R2SCAN-RVV10paw600_L4","C8A","","1","~R2SCAN",""
3,1,6.06845958500000,6.06845958500000,3.10571554853057,3.10777706790872,3.18422306207547,.971956577927179,-.0550376822661161,2.48782655230213,-.360685341080631,.497412489483501,5.61100280853902,0.,0.,0.,667.291248271849,-6.67297010203354,-693.109412815607,-6.67297010203354,-225.074177177664,-32.6540167659235,0.,2.0615193781397,2.0615193781387,2.0615193781417,95.0117449195069,2.56395024851142e-013,1.07392320412769e-012,2.78400739692597e-011,8.47113627135512e-013,1.41693957858438e-012,2.32741518402322e-005,.488161,155.192578870475,155.192578870475,60.6712504483522,-172.074893378443,74.2087361159424,-96.3153115189081,200.962511257120,63.2446152545548,0,0,0,.971956577927179,-.0550376822661161,-.360685341080631,.497412489483501,0,"P21/b11","P21/c","","cryst1CHMA_R2SCAN-RVV10paw600_L4","CHMA","","1","~R2SCAN",""
3,1,5.93515026000000,5.93515026000000,3.11266129301146,3.12670145474162,3.15339153453276,-.587046467858807,.546285791014175,2.80270882590037,.0323824483376369,-1.95223718717118,6.81115466308547,0.,0.,0.,785.159836496044,556.263042133557,-1034.19413886782,556.263042133557,-343.325803097525,-540.759303104204,0.,14.040161730165,14.0401617301642,14.040161730168,98.647482956382,5.87474804595221e-013,1.20302624889991e-012,2.50920228355452e-011,1.98910789819661e-012,1.38769699855071e-012,6.11743216713814e-012,4.8563436,144.069130537643,144.069130537643,19.0555109343648,-103.92678251485,103.982743551518,-55.8028066283984,173.399721771740,177.215656660310,265.705997870617,0,0,-.587046467858807,.546285791014175,.0323824483376369,-1.95223718717118,0,"P21/b11","P21/c","","cryst1PEA2Br_R2SCAN-RVV10paw600_L4","PEA2Br","","1","~R2SCAN",""
3,1,6.03923283500000,6.03923283500000,3.08309045834628,3.09832836281866,3.17436399948352,.948220958786626,-.0090430436837341,2.56172212934617,1.01999107100116,-1.00008818841045,5.97090284783152,0.,0.,0.,658.708130457019,22.4094883699702,-693.767969649233,22.4094883699702,-145.767849228563,-28.1945985014939,0.,15.2379044723702,15.2379044723699,15.2379044723716,53.6691048887388,0.,6.075958227808e-013,3.99073210175084e-011,7.82893747103495e-013,1.79153279780367e-012,3.43935982504991e-005,.6643831,155.374260144931,155.374260144931,68.0501422045321,179.146132337879,33.8223802406314,137.625721497485,187.240360357661,301.635672233987,286.855569973070,0,0,.948220958786626,-.0090430436837341,1.01999107100116,-1.00008818841045,0,"P21/b11","P21/c","","cryst1PEA4F_R2SCAN-RVV10paw600_L4","PEA4F","","1","~R2SCAN",""
3,1,5.99760463000000,6.01749838000000,3.08981782347834,3.11059397027915,3.19139459446819,1.04298062273654,-.053807631908195,2.66968755938262,1.13434613158599,-1.13474982958656,6.11818093181242,0.,0.,0.,806.894780161929,-38.7557387364735,-797.002458330751,14.8661224988586,-50.8655145829929,-51.5025532239552,-19.89375000000,12.5037284370691,12.5037284370686,15.2278117328644,49.0513444755402,0.,7.44501603755591e-013,86.7673802203656,7.56998479727643e-013,1.75245719819624e-012,1080.40281881108,1.1669098,149.846731831135,152.512906174729,66.8806593953265,-179.298869544176,34.0636861932966,135.271885727363,186.122075042598,300.213804362958,284.804625047715,0,0,1.04298062273654,-.053807631908195,1.13434613158599,-1.13474982958656,0,"P-1","P-1","","cryst1PEA_R2SCAN-RVV10paw600_L4","PEA","","1","~R2SCAN",""
3,2,6.19439716000000,6.19439716000000,3.14989285920842,3.15117523051901,3.16005182670944,.94145611943509,.108640138476837,2.41363060195382,-.478158914654585,-.578579177359132,5.35711562377938,0.,0.,0.,543.226562355148,195.270611106228,-413.376616845041,195.270611106228,-399.03139932034,-85.1420353809052,0.,1.2823713105834,1.28237131058251,1.28237131058384,125.47775977878,7.25902495369969e-013,1.02059154983246e-012,5.05770405161668e-005,1.0507734948629e-012,3.67832213718701e-012,3.6726654439802e-005,-2.3945498,158.884655027506,158.884655027506,67.2314869347597,177.138308273802,90.0615644841486,176.039871085544,169.369894263206,96.4106427964154,0,0,0,.94145611943509,.108640138476837,-.478158914654585,-.578579177359132,0,"Pbca","Pbca","","cryst2BC1A_R2SCAN-RVV10paw600_L4","BC1A","","2","~R2SCAN",""
3,2,6.09688503500000,6.09688503500000,3.14295607192374,3.15708419914475,3.15083249932367,-.389872810929396,.53688798702687,2.47729066310792,.436764461844283,-1.62652999565479,5.41811245562695,0.,0.,0.,535.678224712847,585.380671371745,-717.76839791979,585.380671371745,-271.115268585605,-647.885474689468,0.,14.1281272209971,14.128127220997,14.1281272209977,86.7742457891982,0.,4.89212524801359e-013,1.22405549995703e-011,1.11079559083619e-012,2.6306806891783e-012,4.1643379396363e-012,3.4343216,150.82001284822,150.82001284822,37.0946932158728,-120.996039594497,41.7434293079848,-62.8547977026429,195.982668322049,182.170786576136,177.900820952482,177.838523272686,0,-.389872810929396,.53688798702687,.436764461844283,-1.62652999565479,0,"Pbca","Pbca","","cryst2C4A_R2SCAN-RVV10paw600_L4","C4A","","2","~R2SCAN",""
3,2,6.07225717000000,6.07225717000000,3.1010350263883,3.10319045608141,3.18633489401563,.988076253975676,.0145414754241209,2.47944386930882,-1.24587736901198,.0417450785950311,6.94463567091397,0.,0.,0.,633.004617171233,65.8162463563728,-645.49937014086,65.8162463563728,-184.566562954852,-23.7385596859597,0.,2.15542969310356,2.15542969310334,2.15542969310389,58.1315164398763,3.62597321469472e-013,7.97630809154285e-013,3.44263846566726e-012,6.1084203580295e-013,1.64644207840737e-012,5.96770974948219e-012,.2358089,156.322735260708,156.322735260708,59.5916334790791,178.316942578758,20.7514560531301,174.821876007537,175.736754848513,172.894194063650,179.931618898100,176.852227026538,180.398188116430,.988076253975676,.0145414754241209,-1.24587736901198,.0417450785950311,0,"Pbca","Pbca","","cryst2C6A_R2SCAN-RVV10paw600_L4","C6A","","2","~R2SCAN",""
3,2,6.29577232000000,6.29577232000000,2.99501676436769,3.46105743051164,3.1509605854059,-2.07587100371143,-.7952842324587,2.67389054480325,-1.2705416929649,-.496819551758235,5.60461258849798,-828.071283733863,-948.593480949174,0.,848.01233647976,0.,-942.141558076689,0.,-136.40150409248,205.33374026621,0.,466.040666143945,97.8120613094418,466.040666143946,222.33677369126,459.27206448935,1.07161925522701e-012,2.2706356736626e-011,4.70131246415156e-014,1.59940124727972e-012,4.47064379809292e-005,4.3341525,150.242115400556,155.335962200309,55.5737200760443,19.4454847978222,68.5397524876576,-1.30180196701043,183.136907101773,68.2945611845192,125.351196737361,0,0,-2.07587100371143,-.7952842324587,-1.2705416929649,-.496819551758235,0,"Pnam:004","Pnma","","cryst2MBA-rac_R2SCAN-RVV10paw600_L4","MBA","rac","2","~R2SCAN",""
